Member,Type,Facility,Year,Date Of Commitment,Amount Agreed,Amount (mn),IFScode,Country,Region,Facility acronym,facilitycode,typecode,decade,incomecode
Zambia,PRGT,Extended Credit Facility,1999,25-Mar-99,"254,450,000",254.45,754,ZMB,AFR,ECF,8,2,3,LIC
Honduras,PRGT,Extended Credit Facility,1999,26-Mar-99,"156,750,000",156.75,268,HND,WHD,ECF,8,2,3,LIC
Uruguay,GRA,Stand-By Arrangement,1999,29-Mar-99,"70,000,000",70,298,URY,WHD,SBA,6,1,3,EMDE
Jordan,GRA,Extended Fund Facility,1999,15-Apr-99,"127,880,000",127.88,439,JOR,MCD,EFF,1,1,3,EMDE
Ghana,PRGT,Extended Credit Facility,1999,3-May-99,"155,000,000",155,652,GHA,AFR,ECF,8,2,3,LIC
Peru,GRA,Extended Fund Facility,1999,24-Jun-99,"383,000,000",383,293,PER,WHD,EFF,1,1,3,EMDE
Mozambique,PRGT,Extended Credit Facility,1999,28-Jun-99,"58,800,000",58.8,688,MOZ,AFR,ECF,8,2,3,LIC
Mexico,GRA,Stand-By Arrangement,1999,7-Jul-99,"3,103,000,000",3103,273,MEX,WHD,SBA,6,1,3,EMDE
Mauritania,PRGT,Extended Credit Facility,1999,21-Jul-99,"42,490,000",42.49,682,MRT,MCD,ECF,8,2,3,LIC
Russian Federation,GRA,Stand-By Arrangement,1999,28-Jul-99,"3,300,000,000",3300,922,RUS,EUR,SBA,6,1,3,EMDE
Zimbabwe,GRA,Stand-By Arrangement,1999,2-Aug-99,"141,360,000",141.36,698,ZWE,AFR,SBA,6,1,3,LIC
Romania,GRA,Stand-By Arrangement,1999,5-Aug-99,"400,000,000",400,968,ROM,EUR,SBA,6,1,3,EMDE
Mali,PRGT,Extended Credit Facility,1999,6-Aug-99,"46,650,000",46.65,678,MLI,AFR,ECF,8,2,3,LIC
Burkina Faso,PRGT,Extended Credit Facility,1999,10-Sep-99,"39,120,000",39.12,748,BFA,AFR,ECF,8,2,3,LIC
Djibouti,PRGT,Extended Credit Facility,1999,18-Oct-99,"19,082,000",19.082,611,DJI,MCD,ECF,8,2,3,LIC
Cambodia,PRGT,Extended Credit Facility,1999,22-Oct-99,"58,500,000",58.5,522,KHM,APD,ECF,8,2,3,LIC
"Latvia, Republic of",GRA,Stand-By Arrangement,1999,10-Dec-99,"33,000,000",33,941,LVA,EUR,SBA,6,1,3,AE
"Kazakhstan, Republic of",GRA,Extended Fund Facility,1999,13-Dec-99,"329,100,000",329.1,916,KAZ,MCD,EFF,1,1,3,EMDE
Colombia,GRA,Extended Fund Facility,1999,20-Dec-99,"1,957,000,000",1957,233,COL,WHD,EFF,1,1,3,EMDE
"Türkiye, Republic of",GRA,Stand-By Arrangement,1999,22-Dec-99,"2,892,000,000",2892,186,TUR,EUR,SBA,6,1,3,EMDE
Chad,PRGT,Extended Credit Facility,2000,7-Jan-00,"36,400,000",36.4,628,TCD,AFR,ECF,8,2,4,LIC
Indonesia,GRA,Extended Fund Facility,2000,4-Feb-00,"3,638,000,000",3638,536,IDN,APD,EFF,1,1,4,EMDE
"Estonia, Republic of",GRA,Stand-By Arrangement,2000,1-Mar-00,"29,340,000",29.34,939,EST,EUR,SBA,6,1,4,AE
"Lithuania, Republic of",GRA,Stand-By Arrangement,2000,8-Mar-00,"61,800,000",61.8,946,LTU,EUR,SBA,6,1,4,AE
Argentina,GRA,Stand-By Arrangement,2000,10-Mar-00,"5,398,610,000",5398.61,213,ARG,WHD,SBA,6,1,4,EMDE
Papua New Guinea,GRA,Stand-By Arrangement,2000,29-Mar-00,"85,540,000",85.54,853,PNG,APD,SBA,6,1,4,LIC
Tanzania,PRGT,Extended Credit Facility,2000,4-Apr-00,"135,000,000",135,738,TZA,AFR,ECF,8,2,4,LIC
Ecuador,GRA,Stand-By Arrangement,2000,19-Apr-00,"226,730,000",226.73,248,ECU,WHD,SBA,6,1,4,EMDE
Sao Tome & Principe,PRGT,Extended Credit Facility,2000,28-Apr-00,"6,657,000",6.657,716,STP,AFR,ECF,8,2,4,LIC
Uruguay,GRA,Stand-By Arrangement,2000,31-May-00,"150,000,000",150,298,URY,WHD,SBA,6,1,4,EMDE
Panama,GRA,Stand-By Arrangement,2000,30-Jun-00,"64,000,000",64,283,PAN,WHD,SBA,6,1,4,EMDE
Benin,PRGT,Extended Credit Facility,2000,17-Jul-00,"27,000,000",27,638,BEN,AFR,ECF,8,2,4,LIC
Kenya,PRGT,Extended Credit Facility,2000,4-Aug-00,"150,000,000",150,664,KEN,AFR,ECF,8,2,4,LIC
Nigeria,GRA,Stand-By Arrangement,2000,4-Aug-00,"788,940,000",788.94,694,NGA,AFR,SBA,6,1,4,LIC
Gabon,GRA,Stand-By Arrangement,2000,23-Oct-00,"92,580,000",92.58,646,GAB,AFR,SBA,6,1,4,EMDE
"North Macedonia, Republic of",GRA,Extended Fund Facility,2000,29-Nov-00,"24,115,000",24.115,962,MKD,EUR,EFF,1,1,4,EMDE
Pakistan,GRA,Stand-By Arrangement,2000,29-Nov-00,"465,000,000",465,564,PAK,MCD,SBA,6,1,4,EMDE
Guinea-Bissau,PRGT,Extended Credit Facility,2000,15-Dec-00,"14,200,000",14.2,654,GNB,AFR,ECF,8,2,4,LIC
"North Macedonia, Republic of",PRGT,Extended Credit Facility,2000,18-Dec-00,"10,335,000",10.335,962,MKD,EUR,ECF,8,2,4,EMDE
Cameroon,PRGT,Extended Credit Facility,2000,21-Dec-00,"111,420,000",111.42,622,CMR,AFR,ECF,8,2,4,LIC
Malawi,PRGT,Extended Credit Facility,2000,21-Dec-00,"45,110,000",45.11,676,MWI,AFR,ECF,8,2,4,LIC
"Moldova, Republic of",PRGT,Extended Credit Facility,2000,21-Dec-00,"110,880,000",110.88,921,MDA,EUR,ECF,8,2,4,LIC
Niger,PRGT,Extended Credit Facility,2000,22-Dec-00,"59,200,000",59.2,692,NER,AFR,ECF,8,2,4,LIC
Georgia,PRGT,Extended Credit Facility,2001,12-Jan-01,"108,000,000",108,915,GEO,MCD,ECF,8,2,4,EMDE
Madagascar,PRGT,Extended Credit Facility,2001,1-Mar-01,"79,430,000",79.43,674,MDG,AFR,ECF,8,2,4,LIC
Lesotho,PRGT,Extended Credit Facility,2001,9-Mar-01,"24,500,000",24.5,666,LSO,AFR,ECF,8,2,4,LIC
Peru,GRA,Stand-By Arrangement,2001,12-Mar-01,"128,000,000",128,293,PER,WHD,SBA,6,1,4,EMDE
"Croatia, Republic of",GRA,Stand-By Arrangement,2001,19-Mar-01,"200,000,000",200,960,HRV,EUR,SBA,6,1,4,EMDE
Ethiopia,PRGT,Extended Credit Facility,2001,22-Mar-01,"86,900,000",86.9,644,ETH,AFR,ECF,8,2,4,LIC
Vietnam,PRGT,Extended Credit Facility,2001,13-Apr-01,"290,000,000",290,582,VNM,APD,ECF,8,2,4,LIC
"Latvia, Republic of",GRA,Stand-By Arrangement,2001,20-Apr-01,"33,000,000",33,941,LVA,EUR,SBA,6,1,4,AE
Sri Lanka,GRA,Stand-By Arrangement,2001,20-Apr-01,"200,000,000",200,524,LKA,APD,SBA,6,1,4,EMDE
Lao People's Democratic Republic,PRGT,Extended Credit Facility,2001,25-Apr-01,"31,700,000",31.7,544,LAO,APD,ECF,8,2,4,LIC
Guinea,PRGT,Extended Credit Facility,2001,2-May-01,"64,260,000",64.26,656,GIN,AFR,ECF,8,2,4,LIC
"Armenia, Republic of",PRGT,Extended Credit Facility,2001,23-May-01,"69,000,000",69,911,ARM,MCD,ECF,8,2,4,EMDE
"Serbia, Republic of",GRA,Stand-By Arrangement,2001,11-Jun-01,"200,000,000",200,942,SRB,EUR,SBA,6,1,4,EMDE
Azerbaijan,PRGT,Extended Credit Facility,2001,6-Jul-01,"80,450,000",80.45,912,AZE,MCD,ECF,8,2,4,EMDE
"Lithuania, Republic of",GRA,Stand-By Arrangement,2001,30-Aug-01,"86,520,000",86.52,946,LTU,EUR,SBA,6,1,4,AE
Brazil,GRA,Stand-By Arrangement,2001,14-Sep-01,"12,144,400,000",12144.4,223,BRA,WHD,SBA,6,1,4,EMDE
Sierra Leone,PRGT,Extended Credit Facility,2001,26-Sep-01,"130,840,000",130.84,724,SLE,AFR,ECF,8,2,4,LIC
Mongolia,PRGT,Extended Credit Facility,2001,28-Sep-01,"28,490,000",28.49,948,MNG,APD,ECF,8,2,4,EMDE
Romania,GRA,Stand-By Arrangement,2001,31-Oct-01,"300,000,000",300,968,ROM,EUR,SBA,6,1,4,EMDE
Kyrgyz Republic,PRGT,Extended Credit Facility,2001,6-Dec-01,"73,400,000",73.4,917,KGZ,MCD,ECF,8,2,4,LIC
Pakistan,PRGT,Extended Credit Facility,2001,6-Dec-01,"1,033,700,000",1033.7,564,PAK,MCD,ECF,8,2,4,EMDE
Peru,GRA,Stand-By Arrangement,2002,1-Feb-02,"255,000,000",255,293,PER,WHD,SBA,6,1,4,EMDE
"Türkiye, Republic of",GRA,Stand-By Arrangement,2002,4-Feb-02,"12,821,200,000",12821.2,186,TUR,EUR,SBA,6,1,4,EMDE
Bulgaria,GRA,Stand-By Arrangement,2002,27-Feb-02,"240,000,000",240,918,BGR,EUR,SBA,6,1,4,EMDE
Côte d'Ivoire,PRGT,Extended Credit Facility,2002,29-Mar-02,"292,680,000",292.68,662,CIV,AFR,ECF,8,2,4,LIC
Guatemala,GRA,Stand-By Arrangement,2002,1-Apr-02,"84,000,000",84,258,GTM,WHD,SBA,6,1,4,EMDE
Uruguay,GRA,Stand-By Arrangement,2002,1-Apr-02,"594,100,000",594.1,298,URY,WHD,SBA,6,1,4,EMDE
Cabo Verde,PRGT,Extended Credit Facility,2002,10-Apr-02,"8,640,000",8.64,624,CPV,AFR,ECF,8,2,4,EMDE
"Serbia, Republic of",GRA,Extended Fund Facility,2002,14-May-02,"650,000,000",650,942,SRB,EUR,EFF,1,1,4,EMDE
"Congo, Democratic Republic of",PRGT,Extended Credit Facility,2002,12-Jun-02,"580,000,000",580,636,COD,AFR,ECF,8,2,4,LIC
Albania,PRGT,Extended Credit Facility,2002,21-Jun-02,"28,000,000",28,914,ALB,EUR,ECF,8,2,4,EMDE
Jordan,GRA,Stand-By Arrangement,2002,3-Jul-02,"85,280,000",85.28,439,JOR,MCD,SBA,6,1,4,EMDE
"Gambia, The",PRGT,Extended Credit Facility,2002,18-Jul-02,"20,220,000",20.22,648,GMB,AFR,ECF,8,2,4,LIC
Bosnia and Herzegovina,GRA,Stand-By Arrangement,2002,2-Aug-02,"67,600,000",67.6,963,BIH,EUR,SBA,6,1,4,EMDE
Rwanda,PRGT,Extended Credit Facility,2002,12-Aug-02,"4,000,000",4,714,RWA,AFR,ECF,8,2,4,LIC
Dominica,GRA,Stand-By Arrangement,2002,28-Aug-02,"3,280,000",3.28,321,DMA,WHD,SBA,6,1,4,EMDE
Brazil,GRA,Stand-By Arrangement,2002,6-Sep-02,"22,821,120,000",22821.12,223,BRA,WHD,SBA,6,1,4,EMDE
Uganda,PRGT,Extended Credit Facility,2002,13-Sep-02,"13,500,000",13.5,746,UGA,AFR,ECF,8,2,4,LIC
Guyana,PRGT,Extended Credit Facility,2002,20-Sep-02,"54,550,000",54.55,336,GUY,WHD,ECF,8,2,4,EMDE
"Tajikistan, Republic of",PRGT,Extended Credit Facility,2002,11-Dec-02,"65,000,000",65,923,TJK,MCD,ECF,8,2,4,LIC
Nicaragua,PRGT,Extended Credit Facility,2002,13-Dec-02,"97,500,000",97.5,278,NIC,WHD,ECF,8,2,4,LIC
Colombia,GRA,Stand-By Arrangement,2003,15-Jan-03,"1,548,000,000",1548,233,COL,WHD,SBA,6,1,4,EMDE
Argentina,GRA,Stand-By Arrangement,2003,24-Jan-03,"2,174,500,000",2174.5,213,ARG,WHD,SBA,6,1,4,EMDE
"Croatia, Republic of",GRA,Stand-By Arrangement,2003,3-Feb-03,"105,880,000",105.88,960,HRV,EUR,SBA,6,1,4,EMDE
Ecuador,GRA,Stand-By Arrangement,2003,21-Mar-03,"151,000,000",151,248,ECU,WHD,SBA,6,1,4,EMDE
Bolivia,GRA,Stand-By Arrangement,2003,2-Apr-03,"85,750,000",85.75,218,BOL,WHD,SBA,6,1,4,EMDE
Sri Lanka,GRA,Extended Fund Facility,2003,18-Apr-03,"144,400,000",144.4,524,LKA,APD,EFF,1,1,4,EMDE
Sri Lanka,PRGT,Extended Credit Facility,2003,18-Apr-03,"269,000,000",269,524,LKA,APD,ECF,8,2,4,EMDE
Senegal,PRGT,Extended Credit Facility,2003,28-Apr-03,"24,270,000",24.27,722,SEN,AFR,ECF,8,2,4,LIC
"North Macedonia, Republic of",GRA,Stand-By Arrangement,2003,30-Apr-03,"20,000,000",20,962,MKD,EUR,SBA,6,1,4,EMDE
Ghana,PRGT,Extended Credit Facility,2003,9-May-03,"184,500,000",184.5,652,GHA,AFR,ECF,8,2,4,LIC
Burkina Faso,PRGT,Extended Credit Facility,2003,11-Jun-03,"24,080,000",24.08,748,BFA,AFR,ECF,8,2,4,LIC
Guatemala,GRA,Stand-By Arrangement,2003,18-Jun-03,"84,000,000",84,258,GTM,WHD,SBA,6,1,4,EMDE
Bangladesh,PRGT,Extended Credit Facility,2003,20-Jun-03,"347,000,000",347,513,BGD,APD,ECF,8,2,4,LIC
Mauritania,PRGT,Extended Credit Facility,2003,18-Jul-03,"6,440,000",6.44,682,MRT,MCD,ECF,8,2,4,LIC
Tanzania,PRGT,Extended Credit Facility,2003,16-Aug-03,"19,600,000",19.6,738,TZA,AFR,ECF,8,2,4,LIC
Dominican Republic,GRA,Stand-By Arrangement,2003,29-Aug-03,"437,800,000",437.8,243,DOM,WHD,SBA,6,1,4,EMDE
Argentina,GRA,Stand-By Arrangement,2003,20-Sep-03,"8,981,000,000",8981,213,ARG,WHD,SBA,6,1,4,EMDE
Nepal,PRGT,Extended Credit Facility,2003,19-Nov-03,"49,900,000",49.9,558,NPL,APD,ECF,8,2,4,LIC
Kenya,PRGT,Extended Credit Facility,2003,21-Nov-03,"175,000,000",175,664,KEN,AFR,ECF,8,2,4,LIC
Paraguay,GRA,Stand-By Arrangement,2003,15-Dec-03,"50,000,000",50,288,PRY,WHD,SBA,6,1,4,EMDE
Dominica,PRGT,Extended Credit Facility,2003,29-Dec-03,"7,688,000",7.688,321,DMA,WHD,ECF,8,2,4,EMDE
Burundi,PRGT,Extended Credit Facility,2004,23-Jan-04,"69,300,000",69.3,618,BDI,AFR,ECF,8,2,4,LIC
Honduras,PRGT,Extended Credit Facility,2004,27-Feb-04,"71,200,000",71.2,268,HND,WHD,ECF,8,2,4,LIC
Ukraine,GRA,Stand-By Arrangement,2004,29-Mar-04,"411,600,000",411.6,926,UKR,EUR,SBA,6,1,4,EMDE
Gabon,GRA,Stand-By Arrangement,2004,28-May-04,"69,440,000",69.44,646,GAB,AFR,SBA,6,1,4,EMDE
Georgia,PRGT,Extended Credit Facility,2004,4-Jun-04,"98,000,000",98,915,GEO,MCD,ECF,8,2,4,EMDE
Peru,GRA,Stand-By Arrangement,2004,9-Jun-04,"287,279,000",287.279,293,PER,WHD,SBA,6,1,4,EMDE
Zambia,PRGT,Extended Credit Facility,2004,16-Jun-04,"220,095,000",220.095,754,ZMB,AFR,ECF,8,2,4,LIC
Mali,PRGT,Extended Credit Facility,2004,23-Jun-04,"9,330,000",9.33,678,MLI,AFR,ECF,8,2,4,LIC
Mozambique,PRGT,Extended Credit Facility,2004,6-Jul-04,"11,360,000",11.36,688,MOZ,AFR,ECF,8,2,4,LIC
Romania,GRA,Stand-By Arrangement,2004,7-Jul-04,"250,000,000",250,968,ROM,EUR,SBA,6,1,4,EMDE
"Croatia, Republic of",GRA,Stand-By Arrangement,2004,4-Aug-04,"97,000,000",97,960,HRV,EUR,SBA,6,1,4,EMDE
Bulgaria,GRA,Stand-By Arrangement,2004,6-Aug-04,"100,000,000",100,918,BGR,EUR,SBA,6,1,4,EMDE
"Congo, Republic of",PRGT,Extended Credit Facility,2004,6-Dec-04,"54,990,000",54.99,634,COG,AFR,ECF,8,2,4,LIC
Dominican Republic,GRA,Stand-By Arrangement,2005,31-Jan-05,"437,800,000",437.8,243,DOM,WHD,SBA,6,1,4,EMDE
Niger,PRGT,Extended Credit Facility,2005,31-Jan-05,"6,580,000",6.58,692,NER,AFR,ECF,8,2,4,LIC
Chad,PRGT,Extended Credit Facility,2005,16-Feb-05,"25,200,000",25.2,628,TCD,AFR,ECF,8,2,4,LIC
Kyrgyz Republic,PRGT,Extended Credit Facility,2005,15-Mar-05,"8,880,000",8.88,917,KGZ,MCD,ECF,8,2,4,LIC
Colombia,GRA,Stand-By Arrangement,2005,2-May-05,"405,000,000",405,233,COL,WHD,SBA,6,1,4,EMDE
"Türkiye, Republic of",GRA,Stand-By Arrangement,2005,11-May-05,"6,662,040,000",6662.04,186,TUR,EUR,SBA,6,1,4,EMDE
"Armenia, Republic of",PRGT,Extended Credit Facility,2005,25-May-05,"23,000,000",23,911,ARM,MCD,ECF,8,2,4,EMDE
Uruguay,GRA,Stand-By Arrangement,2005,8-Jun-05,"766,250,000",766.25,298,URY,WHD,SBA,6,1,4,EMDE
Sao Tome & Principe,PRGT,Extended Credit Facility,2005,1-Aug-05,"2,960,000",2.96,716,STP,AFR,ECF,8,2,4,LIC
Benin,PRGT,Extended Credit Facility,2005,5-Aug-05,"6,190,000",6.19,638,BEN,AFR,ECF,8,2,4,LIC
Malawi,PRGT,Extended Credit Facility,2005,5-Aug-05,"38,170,000",38.17,676,MWI,AFR,ECF,8,2,4,LIC
"North Macedonia, Republic of",GRA,Stand-By Arrangement,2005,31-Aug-05,"51,675,000",51.675,962,MKD,EUR,SBA,6,1,4,EMDE
Cameroon,PRGT,Extended Credit Facility,2005,24-Oct-05,"18,570,000",18.57,622,CMR,AFR,ECF,8,2,4,LIC
Iraq,GRA,Stand-By Arrangement,2005,23-Dec-05,"475,360,000",475.36,433,IRQ,MCD,SBA,6,1,4,EMDE
Albania,GRA,Extended Fund Facility,2006,1-Feb-06,"8,522,500",8.5225,914,ALB,EUR,EFF,1,1,4,EMDE
Albania,PRGT,Extended Credit Facility,2006,1-Feb-06,"8,522,500",8.5225,914,ALB,EUR,ECF,8,2,4,EMDE
Grenada,PRGT,Extended Credit Facility,2006,17-Apr-06,"10,530,000",10.53,328,GRD,WHD,ECF,8,2,4,EMDE
"Moldova, Republic of",PRGT,Extended Credit Facility,2006,5-May-06,"80,080,000",80.08,921,MDA,EUR,ECF,8,2,4,LIC
Sierra Leone,PRGT,Extended Credit Facility,2006,10-May-06,"31,110,000",31.11,724,SLE,AFR,ECF,8,2,4,LIC
Paraguay,GRA,Stand-By Arrangement,2006,31-May-06,"65,000,000",65,288,PRY,WHD,SBA,6,1,4,EMDE
Rwanda,PRGT,Extended Credit Facility,2006,12-Jun-06,"8,010,000",8.01,714,RWA,AFR,ECF,8,2,4,LIC
"Afghanistan, Islamic Republic of",PRGT,Extended Credit Facility,2006,26-Jun-06,"81,000,000",81,512,AFG,MCD,ECF,8,2,4,LIC
Madagascar,PRGT,Extended Credit Facility,2006,21-Jul-06,"54,990,000",54.99,674,MDG,AFR,ECF,8,2,4,LIC
Haiti,PRGT,Extended Credit Facility,2006,20-Nov-06,"73,710,000",73.71,263,HTI,WHD,ECF,8,2,4,LIC
Mauritania,PRGT,Extended Credit Facility,2006,18-Dec-06,"16,100,000",16.1,682,MRT,MCD,ECF,8,2,4,LIC
Central African Republic,PRGT,Extended Credit Facility,2006,22-Dec-06,"36,200,000",36.2,626,CAF,AFR,ECF,8,2,4,LIC
Peru,GRA,Stand-By Arrangement,2007,26-Jan-07,"172,368,000",172.368,293,PER,WHD,SBA,6,1,4,EMDE
"Gambia, The",PRGT,Extended Credit Facility,2007,21-Feb-07,"14,000,000",14,648,GMB,AFR,ECF,8,2,4,LIC
Burkina Faso,PRGT,Extended Credit Facility,2007,23-Apr-07,"6,020,000",6.02,748,BFA,AFR,ECF,8,2,4,LIC
Gabon,GRA,Stand-By Arrangement,2007,7-May-07,"77,150,000",77.15,646,GAB,AFR,SBA,6,1,4,EMDE
Nicaragua,PRGT,Extended Credit Facility,2007,5-Oct-07,"71,500,000",71.5,278,NIC,WHD,ECF,8,2,4,LIC
Iraq,GRA,Stand-By Arrangement,2007,19-Dec-07,"475,360,000",475.36,433,IRQ,MCD,SBA,6,1,4,EMDE
Guinea,PRGT,Extended Credit Facility,2007,21-Dec-07,"48,195,000",48.195,656,GIN,AFR,ECF,8,2,4,LIC
Liberia,GRA,Extended Fund Facility,2008,14-Mar-08,"342,768,309",342.768309,668,LBR,AFR,EFF,1,1,4,LIC
Liberia,PRGT,Extended Credit Facility,2008,14-Mar-08,"239,020,000",239.02,668,LBR,AFR,ECF,8,2,4,LIC
Honduras,GRA,Stand-By Arrangement,2008,7-Apr-08,"38,850,000",38.85,268,HND,WHD,SBA,6,1,4,LIC
Togo,PRGT,Extended Credit Facility,2008,21-Apr-08,"66,060,000",66.06,742,TGO,AFR,ECF,8,2,4,LIC
Mali,PRGT,Extended Credit Facility,2008,28-May-08,"27,990,000",27.99,678,MLI,AFR,ECF,8,2,4,LIC
Niger,PRGT,Extended Credit Facility,2008,2-Jun-08,"23,030,000",23.03,692,NER,AFR,ECF,8,2,4,LIC
Zambia,PRGT,Extended Credit Facility,2008,4-Jun-08,"48,910,000",48.91,754,ZMB,AFR,ECF,8,2,4,LIC
Burundi,PRGT,Extended Credit Facility,2008,7-Jul-08,"46,200,000",46.2,618,BDI,AFR,ECF,8,2,4,LIC
Georgia,GRA,Stand-By Arrangement,2008,15-Sep-08,"477,100,000",477.1,915,GEO,MCD,SBA,6,1,4,EMDE
Djibouti,PRGT,Extended Credit Facility,2008,17-Sep-08,"12,720,000",12.72,611,DJI,MCD,ECF,8,2,4,LIC
Ukraine,GRA,Stand-By Arrangement,2008,5-Nov-08,"11,000,000,000",11000,926,UKR,EUR,SBA,6,1,4,EMDE
Hungary,GRA,Stand-By Arrangement,2008,6-Nov-08,"10,537,500,000",10537.5,944,HUN,EUR,SBA,6,1,4,EMDE
Seychelles,GRA,Stand-By Arrangement,2008,14-Nov-08,"17,600,000",17.6,718,SYC,AFR,SBA,6,1,4,EMDE
"Armenia, Republic of",PRGT,Extended Credit Facility,2008,17-Nov-08,"9,200,000",9.2,911,ARM,MCD,ECF,8,2,4,EMDE
Iceland,GRA,Stand-By Arrangement,2008,19-Nov-08,"1,400,000,000",1400,176,ISL,EUR,SBA,6,1,4,AE
Pakistan,GRA,Stand-By Arrangement,2008,24-Nov-08,"5,168,500,000",5168.5,564,PAK,MCD,SBA,6,1,4,EMDE
Malawi,PRGT,Exogenous Shocks Facility,2008,3-Dec-08,"52,050,000",52.05,676,MWI,AFR,ESF,7,2,4,LIC
"Congo, Republic of",PRGT,Extended Credit Facility,2008,8-Dec-08,"8,460,000",8.46,634,COG,AFR,ECF,8,2,4,LIC
Kyrgyz Republic,PRGT,Exogenous Shocks Facility,2008,10-Dec-08,"66,600,000",66.6,917,KGZ,MCD,ESF,7,2,4,LIC
Senegal,PRGT,Exogenous Shocks Facility,2008,19-Dec-08,"48,540,000",48.54,722,SEN,AFR,ESF,7,2,4,LIC
"Latvia, Republic of",GRA,Stand-By Arrangement,2008,23-Dec-08,"1,521,626,000",1521.626,941,LVA,EUR,SBA,6,1,4,AE
"Belarus, Republic of",GRA,Stand-By Arrangement,2009,12-Jan-09,"1,618,118,000",1618.118,913,BLR,EUR,SBA,6,1,4,EMDE
El Salvador,GRA,Stand-By Arrangement,2009,16-Jan-09,"513,900,000",513.9,253,SLV,WHD,SBA,6,1,4,EMDE
"Serbia, Republic of",GRA,Stand-By Arrangement,2009,16-Jan-09,"350,775,000",350.775,942,SRB,EUR,SBA,6,1,4,EMDE
Sao Tome & Principe,PRGT,Extended Credit Facility,2009,2-Mar-09,"2,590,000",2.59,716,STP,AFR,ECF,8,2,4,LIC
"Armenia, Republic of",GRA,Stand-By Arrangement,2009,6-Mar-09,"368,000,000",368,911,ARM,MCD,SBA,6,1,4,EMDE
Côte d'Ivoire,PRGT,Extended Credit Facility,2009,27-Mar-09,"373,980,000",373.98,662,CIV,AFR,ECF,8,2,4,LIC
Mongolia,GRA,Stand-By Arrangement,2009,1-Apr-09,"153,300,000",153.3,948,MNG,APD,SBA,6,1,4,EMDE
Costa Rica,GRA,Stand-By Arrangement,2009,11-Apr-09,"492,300,000",492.3,238,CRI,WHD,SBA,6,1,4,EMDE
Mexico,GRA,Flexible Credit Line,2009,17-Apr-09,"31,528,000,000",31528,273,MEX,WHD,FCL,2,1,4,EMDE
"Tajikistan, Republic of",PRGT,Extended Credit Facility,2009,21-Apr-09,"78,300,000",78.3,923,TJK,MCD,ECF,8,2,4,LIC
Guatemala,GRA,Stand-By Arrangement,2009,22-Apr-09,"630,600,000",630.6,258,GTM,WHD,SBA,6,1,4,EMDE
Romania,GRA,Stand-By Arrangement,2009,4-May-09,"11,443,000,000",11443,968,ROM,EUR,SBA,6,1,4,EMDE
"Poland, Republic of",GRA,Flexible Credit Line,2009,6-May-09,"13,690,000,000",13690,964,POL,EUR,FCL,2,1,4,EMDE
Colombia,GRA,Flexible Credit Line,2009,11-May-09,"6,966,000,000",6966,233,COL,WHD,FCL,2,1,4,EMDE
Tanzania,PRGT,Exogenous Shocks Facility,2009,29-May-09,"218,790,000",218.79,738,TZA,AFR,ESF,7,2,4,LIC
Mozambique,PRGT,Exogenous Shocks Facility,2009,30-Jun-09,"113,600,000",113.6,688,MOZ,AFR,ESF,7,2,4,LIC
Bosnia and Herzegovina,GRA,Stand-By Arrangement,2009,8-Jul-09,"1,014,600,000",1014.6,963,BIH,EUR,SBA,6,1,4,EMDE
Ghana,PRGT,Extended Credit Facility,2009,15-Jul-09,"387,450,000",387.45,652,GHA,AFR,ECF,8,2,4,LIC
Sri Lanka,GRA,Stand-By Arrangement,2009,24-Jul-09,"1,653,600,000",1653.6,524,LKA,APD,SBA,6,1,4,EMDE
Ethiopia,PRGT,Exogenous Shocks Facility,2009,26-Aug-09,"153,755,000",153.755,644,ETH,AFR,ESF,7,2,4,LIC
Comoros,PRGT,Extended Credit Facility,2009,21-Sep-09,"13,572,500",13.5725,632,COM,AFR,ECF,8,2,4,LIC
Dominican Republic,GRA,Stand-By Arrangement,2009,9-Nov-09,"1,094,500,000",1094.5,243,DOM,WHD,SBA,6,1,4,EMDE
Angola,GRA,Stand-By Arrangement,2009,23-Nov-09,"858,900,000",858.9,614,AGO,AFR,SBA,6,1,4,EMDE
Maldives,GRA,Stand-By Arrangement,2009,4-Dec-09,"49,200,000",49.2,556,MDV,APD,SBA,6,1,4,EMDE
Maldives,PRGT,Exogenous Shocks Facility,2009,4-Dec-09,"8,200,000",8.2,556,MDV,APD,ESF,7,2,4,EMDE
"Congo, Democratic Republic of",PRGT,Extended Credit Facility,2009,11-Dec-09,"346,450,000",346.45,636,COD,AFR,ECF,8,2,4,LIC
Seychelles,GRA,Extended Fund Facility,2009,23-Dec-09,"19,800,000",19.8,718,SYC,AFR,EFF,1,1,4,EMDE
"Moldova, Republic of",GRA,Extended Fund Facility,2010,29-Jan-10,"184,800,000",184.8,921,MDA,EUR,EFF,1,1,5,LIC
"Moldova, Republic of",PRGT,Extended Credit Facility,2010,29-Jan-10,"184,800,000",184.8,921,MDA,EUR,ECF,8,2,5,LIC
Jamaica,GRA,Stand-By Arrangement,2010,4-Feb-10,"820,500,000",820.5,343,JAM,WHD,SBA,6,1,5,EMDE
Malawi,PRGT,Extended Credit Facility,2010,19-Feb-10,"52,050,000",52.05,676,MWI,AFR,ECF,8,2,5,LIC
Iraq,GRA,Stand-By Arrangement,2010,24-Feb-10,"2,376,800,000",2376.8,433,IRQ,MCD,SBA,6,1,5,EMDE
